num,amount,buySum,sellSum,buySpread,sellSpread,spreadSum,maxPrice,minPrice,layerBidPrice,layerBidAmount,layerAskPrice,layerAskAmount,imbalance,bid1,ask1,position
161,24.04,16369.446199999998,10343.9003,64.76745335187029,-13.724267488871522,51.043185862998754,1112.13,1110.65,0,0,0,0,-34.9,1111.33,1111.97,0
162,23.540000000000003,24129.945999999993,2045.2696,16.56685934084992,-20.25704721635158,-3.6901878755016617,1112,1111.42,0,0,0,0,-29.11,1111.31,1111.94,0
163,10.11,7104.8073,4134.2912,70.58393658306407,-126.35512798225382,-55.771191399189746,1112,1111.25,0,0,0,0,34.87,1111.57,1112,0
164,10.42,8461.0027,3123.2283,10.823993510543652,-2.067633587786198,8.756359922757452,1112,1111.43,0,0,0,0,-12.449999999999996,1111.42,1111.44,0
165,20.1,5768.4303,16567.6125,-1.0587717524385454,-69.49346346227382,-70.55223521471237,1111.98,1110.43,0,0,0,0,-38.879999999999995,1110.43,1110.88,0
166,10.079999999999998,9986.851799999999,1210.3789000000002,16.078235479806835,-45.90629629627903,-29.82806081647219,1111.02,1110.42,0,0,0,0,39.629999999999995,1111.37,1111.98,0
167,9.02,5747.2853,4278.7185,2.7875571381673283,-2.9022913349038544,-0.11473419673652563,1111.96,1111.3,0,0,0,0,-35.510000000000005,1111.24,1111.26,0
168,9.509999999999998,4331.4434,6232.1752,0.46551855572094647,-6.578098043148991,-6.112579487428045,1111.27,1110.14,0,0,0,0,-25.75,1109.75,1109.99,0
169,6.32,3074.0306,3939.9428,136.07411854924055,-30.093522710114133,105.98059583912644,1111.01,1109.43,0,0,1112.3,6.78,37.26,1109.88,1110.94,0
170,4.2,3976.4948999999997,688.6794,20.131445961434927,-3.2133333333342007,16.918112628100726,1111.52,1110,0,0,1112,6.29,55.620000000000005,1111.24,1111.7,0
171,3.5999999999999996,3057.3877999999995,944.6782000000001,47.01141376052552,-4.716811594203308,42.294602166322214,1111.99,1111.29,0,0,1112,6.29,29.759999999999998,1111.51,1111.63,0
172,29.47,10583.6668,22165.6241,2.8409033098083807,-16.283546953252205,-13.442643643443828,1112,1110.53,0,0,0,0,-40.699999999999996,1110.51,1111.05,0
173,14.12,14981.406299999999,710.9074,32.76190221713532,-59.7144212523696,-26.952519035234282,1111.74,1110.5,0,0,0,0,47.14,1110.99,1111.57,0
174,5.3500000000000005,5548.039600000001,399.9606,55.44003455616519,-24.05000000000655,31.39003455615864,1112.15,1110.98,0,0,0,0,46.620000000000005,1111.97,1112.5,0
175,4.36,2069.0061,2780.6313999999998,1.8947826086957478,-6.236742424242436,-4.341959815546689,1112.75,1112.15,0,0,0,0,-3.61,1111.95,1112.59,0
176,3.87,3937.7542999999996,366.9963,69.8635172235183,-18.273809523808197,51.58970769971011,1112.69,1112.03,0,0,0,0,37.7,1112.42,1113.12,0
177,19.83,10316.238000000001,11745.0492,23.087554801686586,-20.601567597940534,2.4859872037460518,1113.3,1111.55,0,0,0,0,-37.480000000000004,1111.15,1111.83,0
178,4.44,2713.1391999999996,2223.49,1.621212121212714,-0.23529411764684482,1.3859180035658691,1112.16,1111.63,0,0,0,0,33.6,1112.25,1112.45,0
179,7.31,6142.942599999999,1991.8998,47.7924234330515,-3.304545454545109,44.48787797850639,1113.08,1112.16,0,0,0,0,31.929999999999993,1112.83,1113.23,0
180,12.209999999999999,7117.163199999999,6478.9283000000005,58.61977314259168,-17.55708906504086,41.06268407755082,1114.05,1113.01,0,0,0,0,-3.000000000000001,1113.13,1113.63,0
181,16.969999999999995,15156.440700000001,3754.0696000000003,16.42312838996281,12.044190621523768,28.46731901148658,1115,1113.16,0,0,0,0,37.93,1114.51,1114.97,0
182,10.27,6277.8979,5173.8151,76.97592596082569,-31.924074074075865,45.051851886749844,1115.6,1114.51,0,0,0,0,31.33,1115.05,1115.65,0
183,25.619999999999997,8611.3565,19957.6932,34.60686716048689,-12.806087813267974,21.800779347218914,1115.74,1114.41,0,0,0,0,24.29,1115.17,1115.86,0
184,6.55,7152.518,156.1782,44.497950251439065,-5.1818181818176035,39.31613206962146,1115.95,1115.37,0,0,1116.39,9.52,25.930000000000003,1115.82,1116.15,0
185,10.58,7298.3074000000015,4507.9619,51.952970226893434,-24.037461076937984,27.915509149955444,1116.9,1114.82,0,0,0,0,-38.09,1114.77,1115.58,0
186,21.11,7229.6809,16316.311000000002,63.15114086880761,-55.79196525058257,7.359175618225034,1116.24,1114.76,0,0,0,0,25.769999999999996,1115.21,1115.67,0
