num,amount,buySum,sellSum,buySpread,sellSpread,spreadSum,maxPrice,minPrice,layerBidPrice,layerBidAmount,layerAskPrice,layerAskAmount,imbalance,bid1,ask1
20175,1.28,1462.1564999999998,0,1.8803986710978835,0,1.8803986710978835,1142.4,1142.3,1142,10,1142.57,2.55,-20.989999999999995,1142.28,1142.4
20176,1.4,1359.3573999999996,239.9159,-0.36063998158413246,-2.4999999999977263,-2.860639981581859,1142.51,1142.28,0,0,1142.44,2.55,-11.969999999999999,1142.28,1142.35
20177,0.18,205.623,0,0,0,0,1142.35,1142.35,1142.28,0.78,1142.35,0.6,0.29999999999999893,1142.28,1142.35
20178,1.86,2067.7817000000005,57.114000000000004,20.369913419908567,0,20.369913419908567,1142.94,1142.28,1141.42,2.2,1143.24,2.36,32.82,1142.33,1142.94
20179,0.91,445.54200000000003,594.137,-0.030303030303002743,-2.37698412698368,-2.4072871572866825,1142.94,1142.32,1141.9,1.21,1142.65,0.93,-14.400000000000006,1142.28,1142.64
20180,0.18,137.1243,68.5378,1.222222222223637,-42.83333333333985,-41.611111111116216,1142.73,1142.29,1142.28,0.43,1143,0.32,-2.9999999999999982,1142.28,1143
20181,0.9099999999999999,914.3723,125.6568,42.6524526198569,-13.249999999999318,29.402452619857584,1143,1142.28,1142.22,1.22,1142.98,2.28,19.16,1142.43,1142.95
20182,0.23,159.94160000000002,102.8187,0.07142857142850646,0,0.07142857142850646,1142.44,1142.43,1142.29,0.39,1142.44,0.96,-19.690000000000005,1142.43,1142.44
20183,2.19,2170.9227,331.3036,5.983293994229148,-48.80000000000867,-42.81670600577952,1142.96,1142.31,0,0,1143.42,4.33,37.19000000000001,1142.51,1143.14
20184,8.099999999999998,1074.3661,8178.236099999999,0.8466666666665029,-16.318970273619865,-15.472303606953364,1143.14,1142,1141,13.75,0,0,-29.18,1142,1142.63
20185,0.8899999999999999,788.4448,228.4025,7.514400921659866,-108.00000000001546,-100.48559907835559,1142.7,1142,1142.01,1.43,1142.67,2.59,3.829999999999999,1142.15,1142.24
20186,2.08,1873.5821,502.5672,22.132291666665843,-11.154838709677836,10.977452956988007,1142.66,1142.17,1142,3.85,1142.45,2.25,-34.51,1142.18,1142.24
20187,2.55,2330.4066000000003,582.5203,15.741376248070285,-2.18599791013592,13.555378337934364,1142.39,1142.18,1142.18,3.02,1142.54,2.75,14.139999999999997,1142.19,1142.3
20188,1.56,1188.0264,593.9352000000001,6.582236842111243,-18.87941176469667,-12.297174922585427,1142.4,1142.18,1142,3.85,1142.72,2.75,25.940000000000005,1142.19,1142.41
20189,14.18,13580.6015,2630.3311,46.13275529196583,-10.162042334097723,35.9707129578681,1144.48,1142.18,0,0,0,0,39.74999999999999,1143.37,1144.02
20190,1.58,1051.9742999999999,754.4323999999999,9.392406204902437,-14.628571428572904,-5.236165223670466,1143.61,1143.07,1143.03,1.92,1144.27,1.8,-20.69,1143.07,1143.64
20191,1.5499999999999998,1749.8600000000001,22.8768,13.613280336675208,9.999999999990905,23.613280336666115,1144.05,1143.64,1144.02,3.83,1145.56,2.19,44,1144.13,1144.96
