num,amount,buyAmount,sellAmount,buySum,sellSum,startPrice,endPrice,buyMaxPrice,buyMinPrice,sellMaxPrice,sellMinPrice,maxPrice,minPrice,bestBidDepth,bestAskDepth
104,91.98000000000002,91.70300000000002,0.277,119933.22881999999,362.29036999999994,1307.79,1307.93,1307.94,1307.8,1307.93,1307.79,1307.94,1307.79,272.49199999999996,54.152
105,87.038,28.337,58.70099999999999,37062.95882,76770.9192,1307.92,1307.69,1307.94,1307.89,1307.93,1307.69,1307.94,1307.69,374.807,32.116
106,206.983,15.05,191.933,19684.02951,250979.88577999998,1307.94,1307.36,1307.94,1307.7,1307.93,1307.36,1307.94,1307.36,518.425,266.614
107,195.17599999999996,2.762,192.41399999999996,3610.9307,251580.2365,1307.69,1307.06,1307.7,1307.06,1307.69,1307.05,1307.7,1307.05,394.99900000000014,386.379
108,125.889,66.36099999999999,59.528000000000006,86753.44102,77823.85787000005,1307.37,1307.52,1307.52,1307.06,1307.51,1307.05,1307.52,1307.05,172.604,377.94500000000005
109,65.767,63.941,1.8259999999999998,83589.68378,2387.50314,1307.05,1307.51,1307.52,1307.06,1307.51,1307.05,1307.52,1307.05,1018.6909999999997,19.481
110,21.4,5.5889999999999995,15.810999999999998,7307.72928,20673.04061,1307.52,1307.51,1307.52,1307.52,1307.51,1307.51,1307.52,1307.51,88.867,22.146
111,214.25099999999995,71.999,142.25199999999995,94106.96484,185962.79361000002,1307.51,1307.01,1307.52,1307.02,1307.51,1307.01,1307.52,1307.01,42.674,714.6149999999999
112,167.12199999999996,89.82999999999998,77.29199999999997,117410.00931,101032.00993000006,1307.3,1307.12,1307.13,1307.02,1307.3,1307.01,1307.3,1307.01,48.308,255.187
113,74.90799999999999,71.832,3.076,93907.01406,4020.36276,1307.01,1307.69,1307.69,1307.02,1307.01,1307.01,1307.69,1307.01,780.4850000000001,454.78400000000005
114,241.50900000000001,233.705,7.804,305660.97170999995,10208.583139999999,1307.2,1308.22,1308.23,1307.2,1308.22,1307.77,1308.23,1307.2,586.158,345.64599999999996
115,243.29800000000003,231.38900000000004,11.909,302672.07168,15579.259439999998,1307.72,1308.49,1308.49,1307.72,1308.34,1307.77,1308.49,1307.72,703.9129999999999,280.784
116,129.624,96.27499999999999,33.349000000000004,125970.44839000002,43641.90922,1308.22,1308.69,1308.7,1308.23,1308.69,1308.22,1308.7,1308.22,1340.4259999999997,59.010000000000005
117,125.921,70.879,55.042,92752.68086000001,72032.81187,1308.5,1308.68,1308.7,1308.5,1308.69,1308.68,1308.7,1308.5,576.391,3.532
118,208.77899999999994,28.558999999999997,180.21999999999994,37374.59446000001,235834.85958000005,1308.7,1308.4,1308.7,1308.63,1308.69,1308.4,1308.7,1308.4,154.70000000000002,502.7699999999999
119,204.66299999999995,48.397000000000006,156.26599999999993,63329.04012,204485.99664000006,1308.68,1308.6,1308.63,1308.41,1308.68,1308.4,1308.68,1308.4,71.623,320.358
120,227.522,73.24,154.28199999999998,95841.3325,201906.83384,1308.41,1308.69,1308.7,1308.41,1308.69,1308.4,1308.7,1308.4,601.818,107.253
121,253.71999999999997,33.965999999999994,219.75399999999996,44450.63188999999,287578.49230999994,1308.6,1308.36,1308.7,1308.37,1308.69,1308.36,1308.7,1308.36,426.048,102.044
122,213.377,3.4909999999999997,209.886,4566.40773,274591.19857000007,1308.69,1307.89,1308.37,1307.9,1308.69,1307.89,1308.69,1307.89,25.142000000000003,552.7919999999999
123,52.149000000000015,8.375,43.774000000000015,10953.66352,57254.13465999999,1308.07,1307.89,1308.07,1307.9,1308.06,1307.89,1308.07,1307.89,40.963,398.75699999999995
124,22.782,15.324,7.458,20042.259600000005,9754.243620000005,1307.89,1307.89,1307.9,1307.9,1307.89,1307.89,1307.9,1307.89,225.952,31.135
125,22.431,17.961000000000002,4.47,23491.191900000005,5846.268299999997,1307.9,1307.89,1307.9,1307.9,1307.89,1307.89,1307.9,1307.89,123.509,103.935
126,36.754000000000005,9.144,27.610000000000003,11959.437600000001,36110.49133000001,1307.9,1307.79,1307.9,1307.9,1307.89,1307.79,1307.9,1307.79,98.36800000000001,114.449
127,39.98100000000001,2.683,37.29800000000001,3508.8273999999997,48780.05625000001,1307.89,1307.79,1307.8,1307.8,1307.89,1307.79,1307.89,1307.79,45.921,174.724
128,120.21099999999998,104.10099999999998,16.11,136151.01416000002,21068.565599999998,1307.79,1308.12,1308.12,1307.8,1307.89,1307.79,1308.12,1307.79,48.68,359.59200000000004
129,137.102,133.548,3.5540000000000003,174672.52537000002,4648.02556,1307.79,1308.2,1308.2,1307.8,1308.19,1307.79,1308.2,1307.79,1154.854,164.88800000000003
130,34.484,33.278,1.206,43532.15221,1577.67714,1308.12,1308.19,1308.2,1308.12,1308.19,1308.19,1308.2,1308.12,50.84,128.912
131,5.022,3.673,1.3489999999999998,4805.018599999999,1764.7483100000002,1308.2,1308.19,1308.2,1308.2,1308.19,1308.19,1308.2,1308.19,176.779,27.232
132,24.37,2.525,21.845000000000002,3303.205,28577.41055,1308.19,1308.19,1308.2,1308.2,1308.19,1308.19,1308.2,1308.19,111.369,50.211
133,108.113,41.980000000000004,66.133,54913.755999999994,86510.09088999999,1308.19,1307.87,1308.2,1307.88,1308.19,1307.87,1308.2,1307.87,208.18699999999998,153.432
134,155.111,77.29899999999998,77.812,101106.07734999998,101776.81115999998,1308.19,1307.87,1308.2,1307.75,1308.19,1307.74,1308.2,1307.74,34.311,860.403
135,68.31099999999999,38.144,30.166999999999994,49886.94346,39453.616180000005,1307.74,1307.78,1307.97,1307.75,1307.96,1307.74,1307.97,1307.74,96.675,557.568
136,51,3.029,47.971000000000004,3961.26406,62735.14369,1307.86,1307.66,1307.86,1307.67,1307.85,1307.66,1307.86,1307.66,96.64299999999999,259.28799999999995
137,8.904999999999998,2.46,6.4449999999999985,3217.05612,8427.938709999999,1307.79,1307.66,1307.79,1307.67,1307.78,1307.66,1307.79,1307.66,8.005,654.2410000000002
138,60.833,40.177,20.656,52540.84414,27014.555959999998,1307.66,1307.87,1307.87,1307.67,1307.86,1307.66,1307.87,1307.66,96.199,227.088
139,147.769,76.62700000000002,71.142,100214.87732,93048.37809000001,1307.66,1308.09,1308.1,1307.67,1308.09,1307.66,1308.1,1307.66,221.73800000000003,324.382
140,105.15,51.489,53.661,67346.67022000003,70185.73049,1307.86,1308.24,1308.22,1307.87,1308.24,1307.86,1308.24,1307.86,490.22700000000003,60.258
141,125.43599999999998,123.45999999999998,1.976,161535.20555999997,2585.9208200000003,1308.1,1308.78,1308.78,1308.1,1308.77,1308.11,1308.78,1308.1,248.76200000000003,677.3059999999998
142,268.547,238.95100000000005,29.595999999999997,312715.55802999996,38735.68904,1308.25,1309.06,1309.06,1308.25,1308.94,1308.24,1309.06,1308.24,842.5890000000002,399.1249999999999
143,183.77299999999997,150.44099999999997,33.332,196919.16531999997,43627.05692000001,1308.77,1309.09,1309.09,1308.78,1309.08,1308.77,1309.09,1308.77,1133.0490000000002,29.896
144,93.10799999999999,23.258,69.85,30446.170619999997,91436.20053,1309.09,1308.89,1309.09,1308.89,1309.08,1308.88,1309.09,1308.88,204.18500000000006,16.645
145,180.912,12.052999999999999,168.859,15776.052769999998,221025.99525000004,1309.09,1308.88,1309.09,1308.89,1309.08,1308.88,1309.09,1308.88,69.672,270.01599999999996
146,148.171,43.239,104.932,56595.09507,137343.39616000003,1308.89,1308.91,1308.91,1308.89,1308.88,1308.88,1308.91,1308.88,143.054,26.092
147,174.33900000000006,173.44600000000005,0.893,227071.88979999998,1169.0877600000003,1308.88,1309.41,1309.41,1308.89,1309.4,1308.88,1309.41,1308.88,603.797,286.801
148,319.26599999999985,165.83899999999988,153.42699999999996,217128.90131,200896.09677999996,1308.91,1309.41,1309.41,1308.91,1309.4,1309.35,1309.41,1308.91,237.32199999999997,16.364
149,222.02499999999995,37.666999999999994,184.35799999999995,49321.34337,241397.14817999996,1309.4,1309.4,1309.41,1309.36,1309.4,1309.35,1309.41,1309.35,658.931,22.249
150,951.9759999999997,584.6909999999997,367.28499999999997,766070.2844699998,481326.24238999997,1309.41,1310.5,1310.79,1309.41,1310.78,1309.4,1310.79,1309.4,1118.7000000000003,813.8770000000002
151,874.9480000000001,425.3520000000001,449.596,557400.7318700003,589248.7454800003,1309.91,1310.62,1310.79,1309.91,1310.78,1310,1310.79,1309.91,883.9139999999999,163.81300000000002
152,303.218,62.29500000000001,240.92300000000003,81636.97479,315762.56538000004,1310.49,1310.4,1310.73,1310.4,1310.72,1310.39,1310.73,1310.39,216.50199999999998,72.644
153,378.18399999999986,72.619,305.5649999999999,95153.90275,400382.77025999996,1310.63,1309.99,1310.63,1309.99,1310.62,1310,1310.63,1309.99,164.903,728.504
154,458.1550000000001,272.507,185.64800000000005,356984.10070999997,243215.54584999997,1310.39,1310.31,1310.27,1309.99,1310.39,1310,1310.39,1309.99,0,590.2170000000001
155,285.47900000000004,252.35000000000002,33.129,330578.99854999996,43407.89093,1309.99,1310.24,1310.32,1309.99,1310.31,1310.19,1310.32,1309.99,163.49299999999997,540.163
156,64.293,8.04,56.253,10533.355079999998,73700.95485000002,1310.31,1310.05,1310.24,1310.06,1310.31,1310.05,1310.31,1310.05,304.46999999999997,87.838
157,960.4590000000001,127.97200000000001,832.4870000000001,167644.22397,1090605.20472,1310.23,1309.99,1310.24,1309.99,1310.23,1309.98,1310.24,1309.98,491.349,72.609
